Name,Team,Number,Position,Height,Weight,Age,Salary,College
Cameron Payne,Oklahoma City Thunder,22,PG,6.3,185,21,2021520,Murray State
Andre Roberson,Oklahoma City Thunder,21,SG,6.7,210,24,1210800,Colorado
Kyle Singler,Oklahoma City Thunder,5,SF,6.8,228,28,4500000,Duke
Dion Waiters,Oklahoma City Thunder,3,SG,6.4,220,24,5138430,Syracuse
Russell Westbrook,Oklahoma City Thunder,0,PG,6.3,200,27,16744218,UCLA
Cliff Alexander,Portland Trail Blazers,34,PF,6.8,240,20,525093,Kansas
Al-Farouq Aminu,Portland Trail Blazers,8,SF,6.9,215,25,8042895,Wake Forest
Pat Connaughton,Portland Trail Blazers,5,SG,6.5,206,23,625093,Notre Dame
Allen Crabbe,Portland Trail Blazers,23,SG,6.6,210,24,947276,California
Ed Davis,Portland Trail Blazers,17,C,6.1,240,27,6980802,North Carolina
Maurice Harkless,Portland Trail Blazers,4,SF,6.9,215,23,2894059,St. John's
Gerald Henderson,Portland Trail Blazers,9,SG,6.5,215,28,6000000,Duke
Chris Kaman,Portland Trail Blazers,35,C,7,265,34,5016000,Central Michigan
Meyers Leonard,Portland Trail Blazers,11,PF,7.1,245,24,3075880,Illinois
Damian Lillard,Portland Trail Blazers,0,PG,6.3,195,25,4236287,Weber State
C.J. McCollum,Portland Trail Blazers,3,SG,6.4,200,24,2525160,Lehigh
Luis Montero,Portland Trail Blazers,44,SG,6.7,185,23,525093,Westchester CC
Mason Plumlee,Portland Trail Blazers,24,C,6.11,235,26,1415520,Duke
Brian Roberts,Portland Trail Blazers,2,PG,6.1,173,30,2854940,Dayton
Noah Vonleh,Portland Trail Blazers,21,PF,6.9,240,20,2637720,Indiana
Trevor Booker,Utah Jazz,33,PF,6.8,228,28,4775000,Clemson
Trey Burke,Utah Jazz,3,PG,6.1,191,23,2658240,Michigan
Alec Burks,Utah Jazz,10,SG,6.6,214,24,9463484,Colorado
Dante Exum,Utah Jazz,11,PG,6.6,190,20,3777720,
Derrick Favors,Utah Jazz,15,PF,6.1,265,24,12000000,Georgia Tech
Rudy Gobert,Utah Jazz,27,C,7.1,245,23,1175880,
Gordon Hayward,Utah Jazz,20,SF,6.6,226,26,15409570,Butler
Rodney Hood,Utah Jazz,5,SG,6.6,206,23,1348440,Duke
Joe Ingles,Utah Jazz,2,SF,6.6,226,28,2050000,
Chris Johnson,Utah Jazz,23,SF,6.6,206,26,981348,Dayton
Trey Lyles,Utah Jazz,41,PF,6.1,234,20,2239800,Kentucky
Shelvin Mack,Utah Jazz,8,PG,6.3,203,26,2433333,Butler
Raul Neto,,25,PG,6.1,179,24,900000,
Tibor Pleiss,Utah Jazz,21,C,7.3,256,26,2900000,
Jeff Withey,Utah Jazz,24,C,7,231,26,947276,Kansas
